institution_name,institution_type,province,city,street,postal_code,phone,email,website,program_categories,is_public,directory_id,created_at,source
Derek Brown'S Academy Of Driving,training_provider,AB,Calgary,1809 42nd Street SE,T2B 1G1,(403) 272-4246,,http://www.bestcalgarydrivingschool.com/,"Education, Healthcare, IT, Logistics",True,88d93afc-df60-4788-8af8-10b4438a25f3,2026-01-10T13:15:04.237784+00:00,excel_import
E-Sport Physiotherapy,training_provider,AB,Black Diamond,21 Valley Ridge Place,T0L 0H0,(403) 652-6341,,http://esportphysio.ca/,"Education, Healthcare, IT",True,0330c04f-7655-41ed-a7f1-3b21b23aef7a,2026-01-10T13:15:04.238563+00:00,excel_import
Moga Driving School,training_provider,AB,Calgary,501  4656 Westwinds Dr. NE,T3J 3Z5,(403) 234-7872,,http://www.mogadrivingschool.ca/,,True,c2b49aea-152e-446c-9c59-ef604ff0bf59,2026-01-10T13:15:04.239306+00:00,excel_import
Inrat Exam Prep,training_provider,AB,Calgary,1440 52 Street NE #240,T2A 4T8,(888) 665-8803,info@rtdlearning.com,https://www.rtdlearning.com/,"Education, Community, IT",True,fe7fddec-d8e8-4ced-9320-83387deb6912,2026-01-10T13:15:04.240047+00:00,excel_import
Clarkridge Career Institute,training_provider,AB,Edmonton,3530 78 Ave NW,T6B 2X9,(888) 700-7555,,http://claccareercollege.ca/,,True,3b7cc6cb-fa9b-4fc2-8aea-31ff872d536d,2026-01-10T13:15:04.240597+00:00,excel_import
Chinook Driving Academy,training_provider,AB,Calgary,16-4620 Manilla Road SE,T2G 4B7,(403) 281-8050,chinookdriving@gmail.com,http://www.chinookdrivingacademy.com/,"Education, Healthcare, Business, IT, Logistics, Environment",True,05ecfeb3-4a49-4762-8233-ccb4a7a58dc2,2026-01-10T13:15:04.241117+00:00,excel_import
Ab Road Safe,training_provider,AB,Sturgeon County,26526 TWP RD 543,T8T 1M2,(780) 668-9799,,http://www.abroadsafe.com/,"Education, IT, Logistics",True,25e751c7-5263-4917-ba38-66d7daaed9f9,2026-01-10T13:15:04.241597+00:00,excel_import
Alberta College Of Aeronautics,college,AB,Sherwood Park,70-51401 Range Road 221,T8E 1H1,(780) 922-2802,,https://www.acaeronautics.com/,"Education, IT, Logistics",True,9ef0c77d-a462-4c50-92fc-5c2d3e3e26f0,2026-01-10T13:15:04.242201+00:00,excel_import
Saddle Lake Driver Education,training_provider,AB,Saddle Lake,1407 50 Street,T0A 3T0,(587) 252-1407,,http://sldrivereducation.com/,"Education, IT, Logistics",True,9e520f46-4d71-4040-9bb1-104bd25a8263,2026-01-10T13:15:04.242784+00:00,excel_import
Drive Ab,training_provider,AB,Cochrane,7 Cochrane Lake Trail,T4C 2A8,(403) 851-6888,info@cochranedrivingacademy.com,http://www.cochranedrivingacademy.com/,"Education, IT",True,bcd85801-9045-471c-be61-2238fbed4b3c,2026-01-10T13:15:04.243417+00:00,excel_import
High Level Dental Clinic,training_provider,AB,High Level,10325 Bonaventure Dr SE #104,T0H 1Z0,(780) 926-2777,,http://highleveldentalclinic.com/,"Education, Healthcare, IT, Dental",True,6eafc55e-2c6b-4aa7-9fd7-a9b611b2de64,2026-01-10T13:15:04.244034+00:00,excel_import
High Level Dental Clinic,training_provider,AB,High Level,10325 Bonaventure Dr SE #104,T0H 1Z0,(780) 926-2777,,http://highleveldentalclinic.com/,"Education, Healthcare, IT, Dental",True,cf1a7649-afee-4702-8ee5-18da40f9cbc3,2026-01-10T13:15:04.245205+00:00,excel_import
